decision,title,abstract,identifier,id,source,journal,authors,year,type,level,position,name
,A Metacognitive Strategy For Reducing Disruptive Behavior In Children With Fetal Alcohol Spectrum Disorders: Gofar Pilot,"BACKGROUND: Fetal alcohol spectrum disorders (FASD) are often characterized by disruptive behavior problems and there are few effective interventions available. GoFAR is a novel, 3-part intervention designed to improve self-regulation and adaptive living skills of children with FASD by improving metacognitive control of emotions and arousal.METHODS: The intervention has 3 components: (i) GoFAR: a ""serious game"" designed to teach a metacognitive control strategy in a computer game environment; (ii) parent training on child behavioral regulation; and (iii) Behavior Analog Therapy (BAT) sessions, a practical application of the metacognitive learning methodology by parent and child in the context of learning adaptive skills. The learning strategy (FAR) teaches the child to Focus and make a plan, Act out the plan, and Reflect back on the plan. Thirty families were randomized to 3 groups: (i) GoFAR (n = 10); (ii) FACELAND (n = 10); or (iii) CONTROL (n = 10). The 2 intervention groups, GoFAR and FACELAND, used computer games to instruct children. Both groups also received 5 sessions of parent training followed by 5 sessions of joint parent/child therapy (BAT). Assessment of disruptive behavior, including frequency of temper tantrums, frustration tolerance, impulsivity, destructiveness, aggression, and maintaining attention were carried out before enrollment at Mid-Treatment, when game play and parent training were completed, and finally, after completing the BAT sessions.RESULTS: Parental report of disruptive behavior overall was significantly reduced in the GoFAR group after the first components, game play and parent training, and after the BAT sessions in the FACELAND group with no changes in the CONTROL group over time.CONCLUSIONS: The GoFAR(®) game was well received by children and effective in teaching the required skills. Mastering the FAR metacognitive strategy was associated with a reduction in disruptive behaviors in children with FASD suggesting that effective interventions can improve outcomes for this high-risk group. Copyright © 2015 by the Research Society on Alcoholism.",doi,10.1111/acer.12885,Scopus,"Alcoholism, clinical and experimental research","Coles C.D., Kable J.A., Taddeo E., Strickland D.C.",2015,Article,NA,reviewer1,Tamas
,A Motivational Model Of Video Game Engagement,"More Americans now play video games than go to the movies (NPD Group, 2009). The meteoric rise in popularity of video games highlights the need for research approaches that can deepen our scientific understanding of video game engagement. This article advances a theory-based motivational model for examining and evaluating the ways by which video game engagement shapes psychological processes and influences well-being. Rooted in self-determination theory (Deci & Ryan, 2000; Ryan & Deci, 2000a), our approach suggests that both the appeal and well-being effects of video games are based in their potential to satisfy basic psychological needs for competence, autonomy, and relatedness. We review recent empirical evidence applying this perspective to a number of topics including need satisfaction in games and short-term well-being, the motivational appeal of violent game content, motivational sources of postplay aggression, the antecedents and consequences of disordered patterns of game engagement, and the determinants and effects of immersion. Implications of this model for the future study of game motivation and the use of video games in interventions are discussed. © 2010 American Psychological Association.",doi,10.1037/a0019440,Scopus,Review of General Psychology,"Przybylski A.K., Rigby C.S., Ryan R.M.",2010,Article,NA,reviewer1,Tamas
,A Multi-Agent Architecture For Geosimulation Of Moving Agents,"In this paper, a novel architecture is proposed in which an axiomatic derivation system in the form of first-order logic facilitates declarative explanation and spatial reasoning. Simulation of environmental perception and interaction between autonomous agents is designed with a geographic belief–desire–intention and a request–inform–query model. The architecture has a complementary quantitative component that supports collaborative planning based on the concept of equilibrium and game theory. This new architecture presents a departure from current best practices geographic agent-based modelling. Implementation tasks are discussed in some detail, as well as scenarios for fleet management and disaster management. © 2015, Springer-Verlag Berlin Heidelberg.",doi,10.1007/s10109-015-0218-2,Scopus,Journal of Geographical Systems,"Vahidnia M.H., Alesheikh A.A., Alavipanah S.K.",2015,Article,NA,reviewer1,Tamas
,A Multi-Measure Approach For Connecting Cognitive Workload And Automation,"Eye behavior metrics, time of run, and subjective survey results were assessed during human-computer interaction with high, low, and intermediate system autonomy levels. The results of this study are provided as a contribution to knowledge on the relationship between cognitive workload physiology and automation. Research suggests that changes in eye behavior metrics are related to changes in cognitive workload. Few studies have investigated the relationship between eye behavior metrics physiology measures and levels of automation. A within-subjects experiment involving 18 participants who played an open-source real-time strategy game was conducted. Three different versions of the game were developed, each with a unique static autonomy level designed from Sheridan and Verplank's 10 levels of autonomy (levels 2, 4, and 9). NASA-TLX subject survey ratings, time to complete run, and visual fixation rate were found to be significantly different among automation levels. These findings suggest that assessing visual physiology may be a promising indicator for evaluating cognitive workload when interacting with static autonomy levels. This efforts takes us one step closer to using visual physiology as a useful method for evaluating operator workload in almost real-time. Relevance to industry Potential applications of this research include development of software that integrates adaptive automation to improve human-computer task performance for high cognitive workload tasks (Air Traffic Control, aircraft piloting, process control, information analyst, etc.). © 2016",doi,10.1016/j.ijhcs.2016.05.008,Scopus,International Journal of Human Computer Studies,"Evans D.C., Fendley M.",2017,Article,NA,reviewer1,Tamas
,A New Rfid-Based And Ontological Recreation System For Blind People,"More than five million people are blind in China. Computer game should be attractive to them for leisure time, especially Mahjong. Ontology theory has been adopted to retrieve its knowledge and the low-cost RFID as the mediation between the blind player and computer. We designed an autonomous computer platform called Blind Mahjong Game (BMG), which includes 144 Mahjong tiles and voice prompt function. BMG comprises a plurality of Mahjong cubes (stuck RFID tag) their location in the Mahjong-selection tray or Mahjong-discard tray, a plurality of Chow-Pong-Kong-Win indicator cubes, a win frame, a tile frame, at least one RFID reader connected to BMG by USB port gateway to transmit an RF signal. As compared to current static or drab game for the blind, BMG has been certified by two patents in Taiwan which have shown that its software and hardware integrated novelty, progress and utilisation in the application of RFID technology for the blind. Copyright © 2015 Inderscience Enterprises Ltd.",doi,10.1504/IJRFITA.2015.070548,Scopus,International Journal of Radio Frequency Identification Technology and Applications,Tang J.,2015,Article,NA,reviewer1,Tamas
,A Preliminary Study On Pupil Size Changes Detection On Mental Stress With Mental Stressor,"This is a study on measuring the effect of stress that stimulated by the different difficulty of game level on pupil dilation. Playing games are claimed a method to distress in the community, however, this activity is enhancing stress level? The effect of the game playing on the changes of pupil dilation is unknown. An investigation was conducted on relating the changes of pupil diameter measurement at the different difficulty levels of the game. A simple tool was developed by using a webcam as image acquisition device together with MATLAB Image Processing Tool to analyze the acquired images. Here, experiments on the pupil detection algorithm, which consisted of four different methods are to work alternatively with one another and to provide higher chances of pupil detection. 10 subjects were involved in the experiments, which they were requested to play a selected game with four different ascending increased in difficulties, meanwhile, pupil size changes were measured simultaneously. The selected game served as a stress stimulus to the subjects. The result showed a positive proportional relationship between increased in game difficulty levels and pupil dilation. The investigation reported that the pupil dilated when the difficulty of game level increased. Limitation of this study is the sample size on the prototype testing should be increased to concrete the outcome. © 2017 National Taiwan University.",doi,10.4015/S1016237217500119,Scopus,"Biomedical Engineering - Applications, Basis and Communications","Lee P.F., Lee K.S.",2017,Article,NA,reviewer1,Tamas
,A Robot Learns The Facial Expressions Recognition And Face/Non-Face Discrimination Through An Imitation Game,"In this paper, we show that a robotic system can learn online to recognize facial expressions without having a teaching signal associating a facial expression with a given abstract label (e.g., ‘sadness’, ‘happiness’). Moreover, we show that recognizing a face from a non-face can be accomplished autonomously if we imagine that learning to recognize a face occurs after learning to recognize a facial expression, and not the opposite, as it is classically considered. In these experiments, the robot is considered as a baby because we want to understand how the baby can develop some abilities autonomously. We model, test and analyze cognitive abilities through robotic experiments. Our starting point was a mathematical model showing that, if the baby uses a sensory motor architecture for the recognition of a facial expression, then the parents must imitate the baby’s facial expression to allow the online learning. Here, a first series of robotic experiments shows that a simple neural network model can control a robot head and can learn online to recognize the facial expressions of the human partner if he/she imitates the robot’s prototypical facial expressions (the system is not using a model of the face nor a framing system). A second architecture using the rhythm of the interaction first allows a robust learning of the facial expressions without face tracking and next performs the learning involved in face recognition. Our more striking conclusion is that, for infants, learning to recognize a face could be more complex than recognizing a facial expression. Consequently, we emphasize the importance of the emotional resonance as a mechanism to ensure the dynamical coupling between individuals, allowing the learning of increasingly complex tasks. © 2014, Springer Science+Business Media Dordrecht.",doi,10.1007/s12369-014-0245-z,Scopus,International Journal of Social Robotics,"Boucenna S., Gaussier P., Andry P., Hafemeister L.",2014,Article,NA,reviewer1,Tamas
,A Vr-Based Serious Game For Studying Emotional Regulation In Adolescents,"People all use more or less adapted strategies to confront adverse emotional situations in their lives without being psychologically affected. The emotional regulation (ER) strategies that we use determine the way in which we feel, express, and behave. Moreover, ER strategies are particularly important in adolescents, a population for which ER strategy deficits can be linked to the appearance of numerous mental health disorders, such as depression or anxiety, or disruptive behaviors. Thus, the early detection of dysfunctional ER strategies and training in adaptive ER strategies can help prevent future occurrences of possible behavioral and psychosocial disorders. In this article, the authors present the GameTeen System (GT-System), a novel instrument based on virtual reality and serious games for the assessment and training of ER strategies in adolescents. The results of their preliminary evaluation suggest that this system can effectively train and evaluate emotional regulation strategies in adolescents. © 1981-2012 IEEE.",doi,10.1109/MCG.2015.8,Scopus,IEEE Computer Graphics and Applications,"Rodriguez A., Rey B., Vara M.D., Wrzesien M., Alcaniz M., Banos R.M., Perez-Lopez D.",2015,Article,NA,reviewer1,Tamas
,Abnormal Activity In Reward Brain Circuits In Human Narcolepsy With Cataplexy,"Objective: Hypothalamic hypocretins (or orexins) regulate energy metabolism and arousal maintenance. Recent animal research suggests that hypocretins may also influence reward-related behaviors. In humans, the loss of hypocretin-containing neurons results in a major sleep-wake disorder called narcolepsy-cataplexy, which is associated with emotional disturbances. Here, we aim to test whether narcoleptic patients show an abnormal pattern of brain activity during reward processing. Methods: We used functional magnetic resonance imaging in 12 unmedicated patients with narcolepsy-cataplexy to measure the neural responses to expectancy and experience of monetary gains and losses. We statistically compared the patients' data with those obtained in a group of 12 healthy matched controls. Results and Interpretation: Our results reveal that activity in the dopaminergic ventral midbrain (ventral tegmental area) was not modulated in narcolepsy-cataplexy patients during high reward expectancy (unlike controls), and that ventral striatum activity was reduced during winning. By contrast, the patients showed abnormal activity increases in the amygdala and in dorsal striatum for positive outcomes. In addition, we found that activity in the nucleus accumbens and the ventral-medial prefrontal cortex correlated with disease duration, suggesting that an alternate neural circuit could be privileged over the years to control affective responses to emotional challenges and compensate for the lack of influence from ventral midbrain regions. Our study offers a detailed picture of the distributed brain network involved during distinct stages of reward processing and shows for the first time, to our knowledge, how this network is affected in hypocretin-deficient narcoleptic patients. © 2010 American Neurological Association.",doi,10.1002/ana.21825,Scopus,Annals of Neurology,"Ponz A., Khatami R., Poryazova R., Werth E., Boesiger P., Bassetti C.L., Schwartz S.",2010,Article,NA,reviewer1,Tamas
,Active Video Games As An Exercise Tool For Children With Cystic Fibrosis,"Background: Active video games are used in many hospitals as exercise tools for children with cystic fibrosis. However, the exercise intensity associated with playing these games has not been examined in this population. Methods: Children with cystic fibrosis [n=30, aged 12.3 (2.6) years, 17 boys, BMI 17.7 (2.8) kg/m2] were recruited from outpatient clinics in Dublin hospitals. Age and gender matched control children were recruited from local schools. Oxygen consumption, metabolic equivalents (METs) calculated from resting V̇O2, and heart rate were measured while playing Nintendo Wii™ (Nintendo Co. Ltd., Tokyo, Japan) Sports Boxing and Nintendo Wii Fit Free Jogging using a portable indirect calorimeter (Oxycon Mobile). Results: Playing Wii Boxing resulted in light intensity activity (2.46. METs) while playing Wii Fit Free Jogging resulted in moderate intensity physical activity (4.44. METs). No significant difference was seen between groups in the energy cost of playing active video games. Conclusion: Active video games are a useful source of light to moderate intensity physical activity in children with cystic fibrosis. © 2013 European Cystic Fibrosis Society.",doi,10.1016/j.jcf.2013.10.008,Scopus,Journal of Cystic Fibrosis,"O'Donovan C., Greally P., Canny G., McNally P., Hussey J.",2014,Article,NA,reviewer1,Tamas
,Active Video Gaming In Patients With Renal Transplant: A Pilot Study.,"Patients with renal transplant are at higher risk of mortality from cardiovascular disease (CVD) compared with the general population. Physical activity has been shown to reduce the risk of CVD mortality in these patients. Unfortunately, barriers such as the harsh Canadian climate prevent patients from engaging in and harvesting the health benefits of physical activity. This pilot study explored active video gaming (AVG) as a way for patients with renal transplant to obtain physical activity and examined its effect on their functional status and quality of life (QOL). We recruited nine patients for an 8-week prospective pilot study. All patients received a Microsoft Xbox 360™ video gaming console, a Microsoft Kinect™ sensor, and the video game Your Shape Fitness Evolved 2012. Assessment of each participant before and after the intervention included blood pressure measures, a 6-minute walk test, and the Godin Leisure Time Questionnaire (GLTQ). We analyzed all nine patients at the end of the 8-week study period, and found no changes in blood pressure or GLTQ scores. However, there was a significant increase in the 6-minute walk distance (P = 0.022), which represented a consistent increase for most patients (correlation = 0.977). In addition, participants over the age of 45 years (n = 4) were more likely to use the AVG system (P = 0.042). AVG has the potential to improve the functional status in patients with renal transplant. Further research is required to corroborate the full health benefits of AVG in this patient population.",doi,10.1186/2047-1440-3-15,pubmed,Transplantation research,"Wang, Dorothy Wei Yun; Sills, Laura L; MacDonald, Sara B; Maianski, Ziv; Alwayn, Ian",2014,NA,NA,reviewer1,Tamas
,Acute Cognitively Engaging Exergame-Based Physical Activity Enhances Executive Functions In Adolescents,"The study aimed to elucidate the influence of cognitive engagement comprised in an acute bout of exergame-based physical activity on executive functions (inhibition, cognitive flexibility) in adolescents. Therefore, the level of cognitive engagement and the intensity of physical activity were systematically varied across three experimental conditions. Sixty-five healthy male adolescents (13-16 years) were randomly assigned to one of three conditions: (a) physical activity with high levels of cognitive engagement during active video gaming, (b) physical activity with low levels of cognitive engagement during active video gaming, (c) sedentary with low levels of cognitive engagement during passive video watching. Manipulation checks, including subjective and objective operationalizations of cognitive engagement, were applied. Executive functions were assessed before and after each condition using the D-KEFS design fluency test. Results showed that cognitive engagement, operationalized by subjects' ratings and heart rate variability, differed between conditions. The physical activity condition with a high level of cognitive engagement resulted in significantly better performance in cognitive flexibility compared to conditions with low levels of cognitive engagement. Regarding benefits for executive functions in male adolescents, the results indicate that acute physical activity with high cognitive engagement could be more efficient than physical activity of the same intensity with low cognitive engagement. Even though further evidence is needed, these results extend previous research and suggest a methodological approach for measuring cognitive engagement. © 2016 Benzing et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",doi,10.1371/journal.pone.0167501,Scopus,PLoS ONE,"Benzing V., Heinks T., Eggenberger N., Schmidt M.",2016,Article,NA,reviewer1,Tamas
,Acute Stress Increases Sex Differences In Risk Seeking In The Balloon Analogue Risk Task,"Background: Decisions involving risk often must be made under stressful circumstances. Research on behavioral and brain differences in stress responses suggest that stress might have different effects on risk taking in males and females. Methodology/Principal Findings: In this study, participants played a computer game designed to measure risk taking (the Balloon Analogue Risk Task) fifteen minutes after completing a stress challenge or control task. Stress increased risk taking among men but decreased it among women. Conclusions/Significance: Acute stress amplifies sex differences in risk seeking; making women more risk avoidant and men more risk seeking. Evolutionary principles may explain these stress-induced sex differences in risk taking behavior. © 2009 Lighthall et al.",doi,10.1371/journal.pone.0006002,Scopus,PLoS ONE,"Lighthall N.R., Mather M., Gorlick M.A.",2009,Article,NA,reviewer1,Tamas
,Adaptive Tele-Therapies Based On Serious Games For Health For People With Time-Management And Organisational Problems: Preliminary Results,"Attention Deficit with Hyperactivity Disorder (ADHD) is one of the most prevalent disorders within the child population today. Inattention problems can lead to greater difficulties in completing assignments, as well as problems with time management and prioritisation of tasks. This article presents an intelligent tele-therapy tool based on Serious Games for Health, aimed at the improvement of time management skills and the prioritisation of tasks. This tele-system is based on the use of decision trees within Django, a high-level Python Web framework. The technologies and techniques used were selected so as to boost user involvement and to enable the system to be easily customised. This article shows the preliminary results of the pilot-phase in an experiment performed to evaluate the use of adaptive tele-therapies within a group of typically developing children and adolescents aged between 12 and 19 years old without ADHD. To do so, we relied on the collection of parameters and the conduct of surveys for assessing time management skills, as well as measuring system usability and availability. The results of a time management survey highlighted that the users involved in the trial did not use any specific or effective time management techniques, scoring 1.98 and 2.30 out of 5 points in this area for ages under 15 and over 16 years old, respectively. The final calculations based on the usability questionnaire resulted in an average score of 78.75 out of 100. The creation of a customisable tool capable of working with different skills, in conjunction with the replication of the current study, may help to understand these users' needs, as well as boosting time management skills among teenagers with and without ADHD. © 2014 by the authors; licensee MDPI, Basel, Switzerland.",doi,10.3390/ijerph110100749,Scopus,International Journal of Environmental Research and Public Health,"Frutos-Pascual M., Zapirain B.G., Zorrilla A.M.",2014,Article,NA,reviewer1,Tamas
,Adolescent Girls' Energy Expenditure During Dance Simulation Active Computer Gaming,"Abstract The objective of this study was to determine the energy expended and intensity of physical activity achieved by adolescent girls while playing on a dance simulation game. Twenty adolescent girls were recruited from a local secondary school. Resting oxygen uptake V̇O2 and heart rate were analysed while sitting quietly and subsequently during ~30 min of game play, with 10 min at each of three increasing levels of difficulty. Energy expenditure was predicted from V̇O2 at rest and during game play at three levels of play, from which the metabolic equivalents (METS) of game playing were derived. Mean ± standard deviation energy expenditure for levels 1, 2, and 3 was 3.63 ± 0.58, 3.65 ± 0.54, and 4.14 ± 0.71 kcal min-1 respectively, while mean activity for each level of play was at least of moderate intensity (&gt; 3 METS). Dance simulation active computer games provide an opportunity for most adolescent girls to exercise at moderate intensity. Therefore, regular playing might contribute to daily physical activity recommendations for good health in this at-risk population. © 2010 Taylor &amp; Francis.",doi,10.1080/02640410903369935,Scopus,Journal of Sports Sciences,"Fawkner S.G., Niven A., Thin A.G., MacDonald M.J., Oakes J.R.",2010,Article,NA,reviewer1,Tamas
