source,psyid,pmid,doi,title,abstract,year,month,day,journal,authors
psycInfo,2015-22417-001,NA,10.1037/ppm0000083,Violent video games increase voice stress: An experimental study.,"In most violent video games, players are put in stressful situations where enemies are trying to kill them. This is reflected by the results of previous research showing that violent video games increase physiological arousal (e.g., heart rate, blood pressure, galvanic skin response). In this study, I investigate the effect of playing violent video games on emotional stress detected by a new methodology: voice analysis. Because changes and disturbances in vocal responses can be understood as reactions to emotional stress, I expected that violent video games would increase voice stress. Participants (N = 87 French university students; 40% female; Mage = 21.2) played either a violent or nonviolent game for 20 min. After game play, participants read a stress-provoking story aloud while their voices were recorded. Voice recordings were analyzed to determine the amount of emotional stress in participants’ voices using Automated Voice Stress Analysis. As hypothesized, voice stress was higher among violent video game players than among nonviolent video game players. Voice stress was also higher for men than for women. No interaction between video game content and the gender of participants was observed. This study confirms that violent video games have physiological consequences on players, as predicted by the General Aggression Model and also introduces a promising nonobtrusive physiological measure in media psychology research. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,1,NA,Psychology of Popular Media Culture,"Hasan, Youssef"
psycInfo,2017-44890-001,NA,10.1111/psyp.13018,Quantifying rapid changes in cardiovascular state with a moving ensemble average.,"MEAP, the moving ensemble analysis pipeline, is a new open‐source tool designed to perform multisubject preprocessing and analysis of cardiovascular data, including electrocardiogram (ECG), impedance cardiogram (ICG), and continuous blood pressure (BP). In addition to traditional ensemble averaging, MEAP implements a moving ensemble averaging method that allows for the continuous estimation of indices related to cardiovascular state, including cardiac output, preejection period, heart rate variability, and total peripheral resistance, among others. Here, we define the moving ensemble technique mathematically, highlighting its differences from fixed‐window ensemble averaging. We describe MEAP's interface and features for signal processing, artifact correction, and cardiovascular‐based fMRI analysis. We demonstrate the accuracy of MEAP's novel B point detection algorithm on a large collection of hand‐labeled ICG waveforms. As a proof of concept, two subjects completed a series of four physical and cognitive tasks (cold pressor, Valsalva maneuver, video game, random dot kinetogram) on 3 separate days while ECG, ICG, and BP were recorded. Critically, the moving ensemble method reliably captures the rapid cyclical cardiovascular changes related to the baroreflex during the Valsalva maneuver and the classic cold pressor response. Cardiovascular measures were seen to vary considerably within repetitions of the same cognitive task for each individual, suggesting that a carefully designed paradigm could be used to capture fast‐acting event‐related changes in cardiovascular state. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,10,3,Psychophysiology,"Cieslak, Matthew; Ryan, William S.; Babenko, Viktoriya; Erro, Hannah; Rathbun, Zoe M.; Meiring, Wendy; Kelsey, Robert M.; Blascovich, Jim; Grafton, Scott T."
psycInfo,2017-50437-014,28843974,10.1016/j.appet.2017.08.018,Acute effects of video-game playing versus television viewing on stress markers and food intake in overweight and obese young men: A randomised controlled trial.,"Background: Sedentary or near-sedentary activities are associated with overweight/obesity in epidemiological studies. This has traditionally been attributed to physical activity displacement. A little-explored area is whether behavioural stresses alter sensations of appetite and eating behaviour. We examined whether behaviours conducted seated (television viewing, video gaming) induce different eating patterns, associated with differential levels of stress response. Methods and findings: We conducted a randomized controlled trial in 72 overweight/obese adult males, assigned to three groups (24 per group): (i) non-violent television (control group); (ii) non-violent game (FIFA); (iii) violent game (Call of Duty). Following a standardized breakfast, the 1-h intervention was followed by 25-min rest, with sweet and savoury snacks and drinks available ad libitum. Stress markers (heart rate, blood pressure, visual analogue scale (VAS)) were measured throughout. Heart rate, systolic blood pressure, and stress by VAS were significantly higher (p < 0.05) playing video games than watching non-violent television, though the two game groups did not differ. Considered separately, only the violent video game group consumed more energy (Δ = 208.3 kcal, 95%CI 16, 400), sweet foods (Δ = 25.9 g, 95%CI 9.9, 41.9) and saturated fat (Δ = 4.36 g, 95%CI 0.76, 7.96) than controls. Conclusion: Playing video games in overweight/obese adult males is associated with an acute stress response relative to watching non-violent television, associated with greater subsequent food intake. These findings highlight the need to focus on the metabolic effects, as well as the energy costs, of activities involving sitting in relation to obesity risk. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2018,1,1,Appetite,"Siervo, Mario; Gan, Jason; Fewtrell, Mary S.; Cortina-Borja, Mario; Wells, Jonathan C. K."
psycInfo,2017-10968-006,NA,10.1016/j.chb.2016.12.045,"Violent video game effects on salivary cortisol, arousal, and aggressive thoughts in children.","An experiment investigated the effects of violent content in video games on two physiological indicators of the fight-or-flight response (cortisol and cardiovascular changes) and on accessibility of aggressive thoughts in children. Participants played a randomly assigned violent or nonviolent video game, rated the game on several dimensions, and did a word completion task. Results showed that the violent video game increased cortisol and (for boys) cardiovascular arousal (relative to baseline) more than did the equally exciting nonviolent game. The violent game also increased the accessibility of aggressive thoughts. The cortisol findings in particular suggest that playing a violent video game may activate the sympathetic nervous system and elicit a fight-or-flight type response in children. Theoretical implications and future research are discussed. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,5,NA,Computers in Human Behavior,"Gentile, Douglas A.; Bender, Patrick K.; Anderson, Craig A."
psycInfo,2017-04159-004,27067242,10.1007/s10508-016-0724-4,Sexist attitudes among emerging adult women readers of Fifty Shades fiction.,"Stereotypical sexist representations of men and women in popular culture reinforce rigid views of masculinity (e.g., males as being strong, in control, masterful, and aggressive) and femininity (e.g., women as being fragile and weak, unassertive, peaceful, irrational, and driven by emotions). The present study examined associations between the fictional series Fifty Shades—one popular culture mechanism that includes pervasive traditional gender role representations—and underlying sexist beliefs among a sample of 715 women ages 18–24 years. Analyses revealed associations between Fifty Shades readership and sexism, as measured through the Ambivalent Sexism Inventory. Namely women who reported reading Fifty Shades had higher levels of ambivalent, benevolent, and hostile sexism. Further, those who interpreted Fifty Shades as 'romantic' had higher levels of ambivalent and benevolent sexism. Our findings support prior empirical studies noting associations between interacting with aspects of popular culture, such as television and video games, and individual beliefs and behaviors. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,2,NA,Archives of Sexual Behavior,"Altenburger, Lauren E.; Carotta, Christin L.; Bonomi, Amy E.; Snyder, Anastasia"
psycInfo,2017-02558-001,28091853,10.1007/s10936-016-9473-8,Does emotional arousal influence swearing fluency?,"This study assessed the effect of experimentally manipulated emotional arousal on swearing fluency. We hypothesised that swear word generation would be increased with raised emotional arousal. The emotional arousal of 60 participants was manipulated by having them play a first-person shooter video game or, as a control, a golf video game, in a randomised order. A behavioural measure of swearing fluency based on the Controlled Oral Word Association Test was employed. Successful experimental manipulation was indicated by raised State Hostility Questionnaire scores after playing the shooter game. Swearing fluency was significantly greater after playing the shooter game compared with the golf game. Validity of the swearing fluency task was demonstrated via positive correlations with self-reported swearing fluency and daily swearing frequency. In certain instances swearing may represent a form of emotional expression. This finding will inform debates around the acceptability of using taboo language. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,1,16,Journal of Psycholinguistic Research,"Stephens, Richard; Zile, Amy"
psycInfo,2017-07146-003,NA,10.1037/a0040413,The American Psychological Association Task Force assessment of violent video games: Science in the service of public interest.,"A task force of experts was convened by the American Psychological Association (APA) to update the knowledge and policy about the impact of violent video game use on potential adverse outcomes. This APA Task Force on Media Violence examined the existing literature, including the meta-analyses in the field, since the last APA report on media violence in 2005. Because the most recent meta-analyses were published in 2010 and reflected work through 2009, the task force conducted a search of the published studies from 2009–2013. These recently published articles were scored and assessed by a systematic evidentiary review, followed by a meta-analysis of the high utility studies, as documented in the evidentiary review. Consistent with the literature that we reviewed, we found that violent video game exposure was associated with: an increased composite aggression score; increased aggressive behavior; increased aggressive cognitions; increased aggressive affect, increased desensitization, and decreased empathy; and increased physiological arousal. The size of the effects was similar to that in prior meta-analyses, suggesting a stable result. Our task force concluded that violent video game use is a risk factor for adverse outcomes, but found insufficient studies to examine any potential link between violent video game use and delinquency or criminal behavior. Our technical report is the basis of this article. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,2,NA,American Psychologist,"Calvert, Sandra L.; Appelbaum, Mark; Dodge, Kenneth A.; Graham, Sandra; Nagayama Hall, Gordon C.; Hamby, Sherry; Fasig-Caldwell, Lauren G.; Citkowicz, Martyna; Galloway, Daniel P.; Hedges, Larry V."
psycInfo,2017-54869-001,NA,10.1037/ppm0000177,What Makes Social Q&A Site Use Enjoyable? The Role of Using Modes and Intrinsic Needs Satisfaction.,"Recent developments in the area of media entertainment research have introduced and tested the model of entertainment as the satisfaction of three intrinsic needs in the context of video game play and Facebook use. This study extended this line of self-determination theory (SDT) through the examination of specific mechanisms that link social Question and Answering site usage to the satisfaction of the intrinsic needs for competence, autonomy, and relatedness. Results revealed that although writing activities were associated with all three need satisfactions, reading activities were associated with the satisfaction of autonomy and competency, and sharing/archiving activities were only associated with the need for competency. Furthermore, only the autonomy need was found to be related to enjoyment. Results were discussed in terms of the theoretical contributions to online media entertainment research. Practical implications for the industry were addressed. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,12,7,Psychology of Popular Media Culture,"Cui, Di; Ji, Qihao"
psycInfo,2017-29614-005,NA,10.1016/j.ijhcs.2017.06.001,Design and evaluation of a personal robot playing a self-management education game with children with diabetes type 1.,"Objective: To assess the effects of a personal robot, providing diabetes self-management education in a clinical setting on the pleasure, engagement and motivation to play a diabetes quiz of children (7–12) with type 1 diabetes mellitus (T1DM), and on their acquisition of knowledge about their illness. Methods: Children with T1DM (N = 27) participated in a randomized controlled trial (RCT) in which they played a diabetes mellitus self-management education (DMSE) game, namely a diabetes quiz, with a personal or neutral robot on three occasions at the clinic, or were allocated to a control group (care as usual). Personalised robot behaviour was based on the self-determination theory (SDT), focusing on the children's needs for competence, relatedness and autonomy. The SDT determinants pleasure, motivation and diabetes knowledge were measured. Child-robot interaction was observed, including level of engagement. Results: Results showed an increase in diabetes knowledge in children allocated to the robot groups and not in those allocated to the control group (P = .001). After three sessions, children working with the personal robot scored higher for determinants of SDT than children with the neutral robot (P = .02). They also found the robot to be more pleasurable (P = .04), they answered more quiz questions correctly (P = .02), and were more motivated to play a fourth time (P = .03). The analysis of audio/video recordings showed that in regard to engagement, children with the personal robot were more attentive to the robot, more social, and more positive (P < .05). Conclusion: The study showed how a personal robot that plays DMSE games and applies STD based strategies (i.e., provides constructive feedback, acknowledges feelings and moods, encourages competition and builds a rapport) can help to improve health literacy in children in an pleasurable, engaging and motivating way. Using a robot in health care could contribute to self-management in children with a chronic disease and help them to cope with their illness. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,10,NA,International Journal of Human-Computer Studies,"Henkemans, Olivier A. Blanson; Bierman, Bert P. B.; Janssen, Joris; Looije, Rosemarijn; Neerincx, Mark A.; van Dooren, Marierose M. M.; de Vries, Jitske L. E.; van der Burg, Gert Jan; Huisman, Sasja D."
psycInfo,2015-48256-001,NA,10.1037/ppm0000104,Of beard physics and worldness: The (non-)effect of enhanced anthropomorphism on player–avatar relations.,"Advances in realistic graphics and artificial intelligence are hallmarks of evolved video games, as environments and characters are made to seem more real. Little is known, however, about whether or not character model changes may impact players’ relationships with familiar avatars, especially since anthropomorphism—the perception of nonhuman objects as being human or humanlike—is understood as central to player–avatar interaction (PAX). This study leveraged a naturally occurring change to massively multiplayer online game avatars to conduct a field quasiexperiment to investigate whether enhanced avatar anthropomorphism influences PAX dimensions: emotional investment, anthropomorphic autonomy, suspension of disbelief, and sense of control. Longitudinal analysis showed that enhanced anthropomorphism had no significant impact on any PAX dimension immediately or over time, when controlling for demographic and gameplay variables. Player comments suggest the change was experienced not as a change in humanness, but as a shift in perceptual realism—believability, lifelikeness, depth—that impacted the experience of the avatar-mediated gameworld more broadly. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,10,NA,Psychology of Popular Media Culture,"Banks, Jaime"
psycInfo,2017-47478-020,NA,10.1016/j.chb.2017.08.026,How games induce cooperation? A study on the relationship between game features and we-intentions in an augmented reality game.,"Seamless cooperation between individuals is essentially a crucial aspect of any successful endeavor. A host of literature has been published in the academic realm about how cooperation could be cultivated. However, true cooperation often forms organically without external enforcement. Recently, there has been one special example of a context where cooperation seemed to have effortlessly sprung up between people who might not even have had previous connections. The context is video/online games; games such as Ingress, Pokémon Go, and World of Warcraft bind people together to work against insurmountable odds and to overcome jointly held challenges. Organizations of many types have recently begun to gamify their structures and services in order to cultivate such seamless cooperation. However, before this potential of games can be successfully wielded outside video games, we need to understand better how games are able to cultivate such cooperation. Therefore, in this study we investigate how games can induce and cultivate we-intention of working as a group. Specifically, we investigate how cooperative game features affect different forms of group dynamics and how they further translate into we-intentions. We employ data from users of the augmented reality game Ingress (N = 206). The results show that cooperative game features induce we-intentions via positively increasing group norms, social identity, joint commitment, attitudes toward cooperation, and anticipated positive emotions. The findings imply that practitioners who are looking to increase cooperation should find that gamification inspired by cooperative game design is beneficial and preferable over individual-based gamification efforts. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,12,NA,Computers in Human Behavior,"Morschheuser, Benedikt; Riar, Marc; Hamari, Juho; Maedche, Alexander"
psycInfo,2017-14666-045,NA,10.1016/j.chb.2017.02.019,"Playing with power: Power poses affect enjoyment, presence, controller responsiveness, and arousal when playing natural motion-controlled video games.","Though playing with natural versus traditional game controllers affects game experiences, studies have not investigated how power poses affect the experience of playing natural controlled video games. Participants keeping powerful poses experienced increased enjoyment, presence, and controller responsiveness compared with those holding powerless poses. Congruent with self-perception and automatic activation models, mediation analyses uncovered direct effects of power poses and also indirect effects in which power poses increased power feelings, which in turn were associated with higher enjoyment, presence, and controller responsiveness but reduced arousal. This provides initial evidence for how physical poses affect people's experiences with natural game interfaces, and highlight basic self-perception and automatic activation mechanisms behind the effect. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",2017,6,NA,Computers in Human Behavior,"Peña, Jorge; Chen, Meng"
psycInfo,2016-58502-006,NA,10.1016/j.neucom.2016.03.104,A game-theoretic power control mechanism based on hidden Markov model in cognitive wireless sensor network with imperfect information.,"Wireless sensor networks are utilized in medical area to gather multimedia information from multiple sources, such as video streams, images, voice, heartbeat and blood pressure data, which call for higher bandwidth and more available spectrum. Whereas, today's radio spectrum is very crowded for rapid increasing popularities of various wireless applications. Hence, wireless sensor networks utilizing the advantages of cognitive radio technology, namely cognitive wireless sensor network (CWSN), is a promising solution for spectrum scarcity problem. A major challenge in CWSN is maximizing its network lifetime by appropriate power control mechanism. To solve the distributed power control issues in CWSN with imperfect information, a game-theoretic power control mechanism based on Hidden Markov Model (HMM) is proposed according to the difference and independence of channel sensing results among users of cognitive wireless sensor network (UCWSNs). UCWSNs can use HMM to infer whether its competitors take part in the game, which improves the information accuracy of game and leads to an optimal transmission power. Moreover, to meet the QoS (Quality of Service) of UCWSNs for multimedia information, a utility function based on the tradeoff of signal to interference plus noise ratio and power efficiency is defined for the power control game. Simulation results indicate that the game-theoretic power control mechanism based on HMM can not only improve the power efficiency, but also meet the target SINR better compared with other methods. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",2017,1,12,Neurocomputing: An International Journal,"Zhu, Jiang; Jiang, Dingde; Ba, Shaowei; Zhang, Yuping"
