source,doi,pmid,title,journal,year,type,authors,abstract
anderson2010,10.1006/jesp.2001.1502,NA,Effects of violent video games on aggressive behavior: Potential sex differences.,Journal of Experimental Social Psychology,2002,NA,"Bartholow, B. D., Anderson, C. A.","Evidence of the effects of playing violent video games on subsequent aggression has been mixed. This study examined how playing a violent video game affected levels of aggression displayed in a laboratory. A total of 43 undergraduate students (22 men and 21 women) were randomly assigned to play either a violent (Mortal Kombat) or nonviolent (PGA Tournament Golf) video game for 10 min. Then they competed with a confederate in a reaction time task that allowed for provocation and retaliation. Punishment levels set by participants for their opponents served as the measure of aggression. The results confirmed our hypothesis that playing the violent game would result in more aggression than would playing the nonviolent game. In addition, a Game × Sex interaction showed that this effect was larger for men than for women. Findings are discussed in light of potential differences in aggressive style between men and women."
anderson2010,10.1016/j.jesp.2005.08.006,NA,Chronic violent video game exposure and desensitization to violence: Behavioral and event-related brain potential data.,Journal of Experimental Social Psychology,2006,NA,"Bartholow, B. D., Bushman, B. J., Sestir, M. A.","Numerous studies have shown that exposure to media violence increases aggression, though the mechanisms of this effect have remained elusive. One theory posits that repeated exposure to media violence desensitizes viewers to real world violence, increasing aggression by blunting aversive reactions to violence and removing normal inhibitions against aggression. Theoretically, violence desensitization should be reflected in the amplitude of the P300 component of the event-related brain potential (ERP), which has been associated with activation of the aversive motivational system. In the current study, violent images elicited reduced P300 amplitudes among violent, as compared to nonviolent video game players. Additionally, this reduced brain response predicted increased aggressive behavior in a later task. Moreover, these effects held after controlling for individual differences in trait aggressiveness. These data are the first to link media violence exposure and aggressive behavior to brain processes hypothetically associated with desensitization."
anderson2010,10.1177/0146167205277205,16207775,"Correlates and consequences of exposure to videogame violence: Hostile personality, empathy, and aggressive behavior.",Personality and Social Psychology Bulletin,2005,NA,"Bartholow, B. D., Sestir, M. A., Davis, M. D.","Research has shown that exposure to violent video games causes increases in aggression, but the mechanisms of this effect have remained elusive. Also, potential differences in short-term and long-term exposure are not well understood. An initial correlational study shows that video game violence exposure (VVE) is positively correlated with self-reports of aggressive behavior and that this relation is robust to controlling for multiple aspects of personality. A lab experiment showed that individuals low in VVE behave more aggressively after playing a violent video game than after a nonviolent game but that those high in VVE display relatively high levels of aggression regardless of game content. Mediational analyses show that trait hostility, empathy, and hostile perceptions partially account for the VVE effect on aggression. These findings suggest that repeated exposure to video game violence increases aggressive behavior in part via changes in cognitive and personality factors associated with desensitization."
anderson2010,10.1001/archpedi.160.4.341,NA,Effects of media violence on health-related outcomes among young men.,Archives of Pediatric & Adolescent Medicine,2006,NA,"Brady, S. S., Mathews, K. A.","Objective  To test the effects of media violence exposure on blood pressure, negative affect, hostile social information processing, uncooperative behavior, and attitudes toward health risk behaviors among young men varying in lifetime violence exposure within the home and community. Design  Experimental laboratory study. Setting  University campus situated within an urban environment. Participants  One hundred male undergraduates aged 18 to 21 years. Intervention  Men who had previously reported differing amounts of lifetime home and community violence were randomly assigned to play The Simpsons: Hit and Run (low-violence condition) or Grand Theft Auto III (high-violence condition).Main Outcome Measures  Systolic and diastolic blood pressure; negative affect; hostile social information processing; uncooperative behavior; and permissive attitudes toward violence, alcohol use, marijuana use, and sexual activity without condom use. Results  Men randomly assigned to play Grand Theft Auto III exhibited greater increases in diastolic blood pressure from a baseline rest period to game play, greater negative affect, more permissive attitudes toward using alcohol and marijuana, and more uncooperative behavior in comparison with men randomly assigned to play The Simpsons. Only among participants with greater exposure to home and community violence, play of Grand Theft Auto III led to elevated systolic blood pressure in comparison with play of The Simpsons (mean, 13 vs 5 mm Hg). Conclusions  Media violence exposure may play a role in the development of negative attitudes and behaviors related to health. Although youth growing up in violent homes and communities may become more physiologically aroused by media violence exposure, all youth appear to be at risk for potentially negative outcomes."
anderson2010,10.1177/014616702237649,NA,Violent video games and hostile expectations: A test of the general aggression model.,Personality and Social Psychology Bulletin,2002,NA,"Bushman, B. J., Anderson, C. A.","Research conducted over several decades has shown that violent media increase aggression. It is now time to move beyond the question of whether violent media increase aggression to answering the question why violent media increase aggression. The present research tested whether violent video games produce a hostile expectation bias—the tendency to expect others to react to potential conflicts with aggression. Participants (N = 224) played either a violent or nonviolent video game. Next, they read ambiguous story stems about potential interpersonal conflicts. They were asked what the main character will do, say, think, and feel as the story continues. People who played a violent video game described the main character as behaving more aggressively, thinking more aggressive thoughts, and feeling more angry than did people who played a nonviolent video game. These results are consistent with the General Aggression Model."
anderson2010,10.1111/j.1467-9280.2009.02287.x,19207695,Comfortably numb: Desensitizing effects of violent media on helping others.,Psychological Science,2009,NA,"Bushman, B. J., Anderson, C. A.","Two studies tested the hypothesis that exposure to violent media reduces aid offered to people in pain. In Study 1, participants played a violent or nonviolent video game for 20 min. After game play, while completing a lengthy questionnaire, they heard a loud fight, in which one person was injured, outside the lab. Participants who played violent games took longer to help the injured victim, rated the fight as less serious, and were less likely to “hear” the fight in comparison to participants who played nonviolent games. In Study 2, violent- and nonviolent-movie attendees witnessed a young woman with an injured ankle struggle to pick up her crutches outside the theater either before or after the movie. Participants who had just watched a violent movie took longer to help than participants in the other three conditions. The findings from both studies suggest that violent media make people numb to the pain and suffering of others."
anderson2010,10.1111/j.1467-9280.2005.01632.x,16262775,"The effects of reward and punishment in violent video games on aggressive affect, cognition, and behavior.",Psychological Science,2005,NA,"Carnagey, N. L., Anderson, C.A.","Three experiments examined the effects of rewarding and punishing violent actions in video games on later aggression-related variables. Participants played one of three versions of the same race-car video game: (a) a version in which all violence was rewarded, (b) a version in which all violence was punished, and (c) a nonviolent version. Participants were then measured for aggressive affect (Experiment 1), aggressive cognition (Experiment 2), and aggressive behavior (Experiment 3). Rewarding violent game actions increased hostile emotion, aggressive thinking, and aggressive behavior. Punishing violent actions increased hostile emotion, but did not increase aggressive thinking or aggressive behavior. Results suggest that games that reward violent actions can increase aggressive behavior by increasing aggressive thinking."
anderson2010,10.1016/j.jesp.2006.05.003,NA,The effect of video game violence on physiological desensitization to real-life violence.,Journal of Experimental Social Psychology,2007,NA,"Carnagey, N. L., Anderson, C.A., Bushman, B. J.","Past research shows that violent video game exposure increases aggressive thoughts, angry feelings, physiological arousal, aggressive behaviors, and decreases helpful behaviors. However, no research has experimentally examined violent video game effects on physiological desensitization, defined as showing less physiological arousal to violence in the real world after exposure to video game violence in the virtual world. This experiment attempts to fill this gap. Participants reported their media habits and then played one of eight violent or nonviolent video games for 20 min. Next, participants watched a 10-min videotape containing scenes of real-life violence while heart rate (HR) and galvanic skin response (GSR) were monitored. Participants who previously played a violent video game had lower HR and GSR while viewing filmed real violence, demonstrating a physiological desensitization to violence. Results are interpreted using an expanded version of the General Aggression Model. Links between desensitization, antisocial, and prosocial behavior are discussed."
anderson2010,10.1080/00221325.1987.10532488,NA,The effects of prosocial and aggressive video games on children’s donating and helping.,Journal of Genetic Psychology,1987,NA,"Chambers, J. H., Ascione, F. R.","We investigated the effects of a prosocial and an aggressive videogame on children's prosocial behavior. Third-, fourth-, seventh-, and eighth-grade boys and girls (N = 160) were randomly assigned to either a control condition or one of four treatment conditions. In two of the treatment conditions, children played a videogame with prosocial content either singly or cooperatively with another child. In the other two conditions, children played an aggressive videogame either singly or competitively. Subsequent levels of donating and helping were measured. A three-way analysis of variance indicated that older students donated significantly more than did younger students. Children who played either of the aggressive videogames donated significantly less than did those who played prosocial games by themselves. No significant effects were found for helping. Playing the prosocial videogame did not increase prosocial responding, but playing the aggressive videogame tended to suppress this behavior. The failure of the prosocial game to accelerate prosocial responding might be due to the relatively brief treatments used in this study and/or to the particular prosocial videogame utilized."
anderson2010,10.1207/s15506878jobem4904_5,NA,Effects of affective orientation and video game play on aggressive thoughts and behaviors.,Journal of Broadcasting & Electronic Media,2006,NA,"Cicchiriool, V., Chory-Assad, R.M.","This study examined the effects of playing a violent video game on aggressive thoughts and behaviors and the moderating role of affective orientation in the violent video game–aggression relationship. Approximately 2 weeks after having their affective orientation measured, 59 participants (plus 5 additional participants) played a violent or nonviolent video game for 10 minutes. Participants then performed a word completion task and judged the researcher's competence, courtesy, and deservedness of financial support. Results show that participants who played the violent video game rated the researcher as less courteous and less deserving of financial support than did participants who played the nonviolent video game, and affective orientation and video game condition interacted to predict evaluations of courtesy and deservedness of financial support."
anderson2010,10.1348/000712600161844,NA,Negative correlates of computer game play in adolescents.,British Journal of Psychology,2000,NA,"Colwell, J., Payne, J.","There is some concern that playing computer games may be associated with social isolation, lowered self-esteem, and aggression among adolescents. Measures of these variables were included in a questionnaire completed by 204 year eight students at a North London comprehensive school. Principal components analysis of a scale to assess needs fulfilled by game play provided some support for the notion of ‘electronic friendship’ among boys, but there was no evidence that game play leads to social isolation. Play was not linked to self-esteem in girls, but a negative relationship was obtained between self-esteem and frequency of play in boys. However, self-esteem was not associated with total exposure to game play. Aggression scores were not related to the number of games with aggressive content named among three favourite games, but they were positively correlated with total exposure to game play. A multiple regression analysis revealed that sex and total game play exposure each accounted for a significant but small amount of the variance in aggression scores. The positive correlation between playing computer games and aggression provides some justification for further investigation of the causal hypothesis, and possible methodologies are discussed."
anderson2010,10.1177/0093650206293249,NA,Beyond the shooter game: Examining presence and hostile outcomes among male game players.,Communication Research,2006,NA,"Eastin, M. S., Griffiths, R. P.","Investigating male game players, this study explores how game interface (virtual reality [VR] and standard console), game content (fighting, shooting, and driving), and game context (human and computer competition) influence levels of presence and hostile expectation bias—the expectation others will think, feel, speak, and act aggressively during social conflict. In addition to game interface and game content influencing hostile expectations, significant interactions were detected for hostile expectations. Presence, although not as predicted, also significantly differed across game interface and game content. Through the development and testing of each gaming experience, this study demonstrates that simply testing violent and nonviolent game situations underestimates the complexity of contemporary video-game play."
anderson2010,10.1207/s15327825mcs0904_2,NA,Aggressive political opinions and exposure to violent media.,Mass Communication and Society,2006,NA,"Eyal, K., Metzger, M. J., Lingsweiler, R. W., Mahood, C., Yao, M. Z.","This study examines the relationship between young people's exposure to media violence and their aggressive political opinions (APO), which were defined as support for positions that involve forceful resolution to social or political issues. Students from 2 U.S. universities completed surveys assessing their APO, exposure to violent media, authoritarianism, trait aggressiveness, political leaning, personal experience with crime, and demographics. Results revealed that violent television exposure significantly predicted several forms of APO above and beyond the control variables. Playing violent video games, however, predicted only a few aggressive political opinions. The results of this study support the reliability and validity of the APO measure, shed light on the relationship between exposure to violent media content and political opinions, and suggest some important differences between television and video game content in the effects process."
anderson2010,NA,NA,"Favaro, P. J. (1983). The effects of video game play on mood, physiological arousal and psychomotor performance (Unpublished doctoral dissertation). Hofstra University.","Favaro, P. J. (1983). The effects of video game play on mood, physiological arousal and psychomotor performance (Unpublished doctoral dissertation). Hofstra University.",1983,THES,"Favaro, P. J. (1983). The effects of video game play on mood, physiological arousal and psychomotor performance","The effects of computer video game play have been a controversial topic actively pursued by the media. Although psychologists, medical experts and the Surgeon General have suggested that the games cause various deleterious effects on social behavior, while others believe that the games can produce beneficial effects in the form of transfer of training, no research has been done to investigate these questions in an experimental setting. The present study examines three major questions that have been raised about video game play. The first question centers on the possible negative effects caused by playing some video games which are aggressive in theme content. The second question centers around whether or not the games produce unhealthy changes in physiological arousal. The third question focuses on whether possible benefits such as improved eye-hand coodination, can be brought on by video game play. Independent variables in this study were activity (video game play vs. television watching vs. dart game play); aggressive theme content (high vs. low); and time on task (fifteen minutes vs. one half hour). Dependent variables were mood, physiological arousal and performance ability as a function of manipulative aptitude. Subjects were 72 college undergraduates and the design was a 3 x 2 x 2 factorial design. No hypotheses were made because of the lack of experimental data on which to base theories. Data analysis was subject to a strict set of conventions designed to reduce the dangers inherent in post-hoc analyses. The major finding of the study suggested that video game play and television watching are not as similar as some have suggested. While all aggressive conditions produced increased self-reports of hostility, the high aggression video game condition produced less aggression than the low aggressive television condition. The aggressive dart game group showed highest self-reports of hostility. No effects were found for transfer to a performance task. A significant theme by time on task interaction was found for heart rate suggesting that high aggression for short time periods increased physiological arousal, which decreases under high time on task. Results of the study were used to examine catharsis, arousal and social learning models of aggression. Issues concerning the social scientist''s responsibility in the media, changes brought about by technology and future research models for studying computer games are discussed."
anderson2010,10.1080/10926770802471522,NA,"Personality, parental, and media influences on aggressive personality and violent crime in young adults.","Journal of Aggression, Maltreatment & Trauma",2008,NA,"Ferguson, C. J., Cruz, A. M., Martinez, D., Rueda, S. M., Ferguson, D. E., Negy, C.","Debate remains regarding the interaction between predictor variables for aggression, including family environment, media violence, and personality. The current study examined the contributions of gender and personality, exposure to physical abuse and violence in the family, and exposure to media violence in both television and in video games on violent criminal activity. Data from young adults (n = 355) indicated that personality characteristics and direct physical abuse significantly predicted violent crime. Exposure to television and video game violence were not significant predictors of violent crime. These results elucidate the complex interplay between multiple factors related to the etiology of violent crime. These results also call into question the belief that media violence is involved in the etiology of violent crime."
anderson2010,10.1177/0093854807311719,NA,Violent video games and aggression: Causal relationship or byproduct of family violence and intrinsic violence motivation?,Criminal Justice and Behavior,2008,NA,"Ferguson, C. J., Rueda, S. M., Cruz, A. M., Ferguson, D. E., Fritz, S., Smith, S. M.","Two studies examined the relationship between exposure to violent video games and aggression or violence in the laboratory and in real life. Study 1 participants were either randomized or allowed to choose to play a violent or nonviolent game. Although males were more aggressive than females, neither randomized exposure to violent-video-game conditions nor previous real-life exposure to violent video games caused any differences in aggression. Study 2 examined correlations between trait aggression, violent criminal acts, and exposure to both violent games and family violence. Results indicated that trait aggression, family violence, and male gender were predictive of violent crime, but exposure to violent games was not. Structural equation modeling suggested that family violence and innate aggression as predictors of violent crime were a better fit to the data than was exposure to video game violence. These results question the common belief that violent-video-game exposure causes violent acts."
anderson2010,10.1111/j.1559-1816.2001.tb00163.x,NA,"Effects of violent versus nonviolent video games on children’s arousal, aggressive mood, and positive mood.",Journal of Applied Social Psychology,2001,NA,"Fleming, M. J., Rickwood, D. J.","This study investigated the relationship between violent video games and children's mood. A total of 71 children aged 8 to 12 years played a paper-and-pencil game, a nonviolent video game, and a violent video game. Results indicate that arousal, as measured by heart rate and self-reported arousal, increased significantly after playing the violent video game, as compared with the other two game conditions, with girls reporting more arousal than did boys. There was no significant increase in aggressive mood scores for either boys or girls after playing the violent game. Positive mood, as measured by positive affect, showed no significant increases or decreases after playing either video game. However, positive mood, as measured by general mood, showed a significant increase after playing the violent game for both boys and girls, but only as compared with the paper-and-pencil game. Results are interpreted in terms of social learning and cognitive information processing theories of aggression."
anderson2010,10.1016/j.adolescence.2003.10.005,NA,"Violence exposure in real life, video games, television, movies, and the Internet: Is there desensitization?",Journal of Adolescence,2004,NA,"Funk, J. B., Baldacci, H. B., Pasold, T., Baumgardner, J.","It is believed that repeated exposure to real-life and to entertainment violence may alter cognitive, affective, and behavioral processes, possibly leading to desensitization. The goal of the present study was to determine if there are relationships between real-life and media violence exposure and desensitization as reflected in related characteristics. One hundred fifty fourth and fifth graders completed measures of real-life violence exposure, media violence exposure, empathy, and attitudes towards violence. Regression analyses indicated that only exposure to video game violence was associated with (lower) empathy. Both video game and movie violence exposure were associated with stronger proviolence attitudes. The active nature of playing video games, intense engagement, and the tendency to be translated into fantasy play may explain negative impact, though causality was not investigated in the present design. The samples’ relatively low exposure to real-life violence may have limited the identification of relationships. Although difficult to quantify, desensitization to violence should be further studied using related characteristics as in the present study. Individual differences and causal relationships should also be examined"
