Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,PubMed ID,Language of Original Document,Document Type,Source,EID
"Butler Y.G.","Motivational elements of digital instructional games: A study of young L2 learners’ game designs",2017,"Language Teaching Research","21","6",,"735","750",,,10.1177/1362168816683560,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032332192&doi=10.1177%2f1362168816683560&partnerID=40&md5=483e8e9b9bfe4e334caa3488a5aaa3b3","This article focuses on the design of digital instructional game (DIG) tasks for young second language (L2) learners. The aim of the study is to identify motivational task elements based on what children respond to positively in games and incorporate into their own L2 vocabulary learning game designs. Eighty-two sixth-grade students (ages 11–12 years) in Japan were first asked to identify game elements by examining existing games and then to design games incorporating DIG tasks of their own and peer-evaluate them. Building on previous work (Butler, 2015), the study uses a mixed-methods approach to examine how both task-intrinsic characteristics and implementation conditions were realized in innovative and engaging DIG tasks by children. Although the study focuses on young learners, the findings might be applied to any type of task, including both digital and physical tasks for adults as well as for children. The article concludes with suggestions for how to design instructional materials which allow individualized learning and encourage autonomy in order to cater to the genuine interests of learners and to invoke intrinsic motivation for learning. © 2016, © The Author(s) 2016.",,"English",Article,Scopus,2-s2.0-85032332192
"Graesser A.C., Cai Z., Morgan B., Wang L.","Assessment with computer agents that engage in conversational dialogues and trialogues with learners",2017,"Computers in Human Behavior","76",,,"607","616",,1,10.1016/j.chb.2017.03.041,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017186313&doi=10.1016%2fj.chb.2017.03.041&partnerID=40&md5=7a8fbaaddd305b5839324a07a926348c","This article describes conversation-based assessments with computer agents that interact with humans through chat, talking heads, or embodied animated avatars. Some of these agents perform actions, interact with multimedia, hold conversations with humans in natural language, and adaptively respond to a person's actions, verbal contributions, and emotions. Data are logged throughout the interactions in order to assess the individual's mastery of subject matters, skills, and proficiencies on both cognitive and noncognitive characteristics. There are different agent-based designs that focus on learning and assessment. Dialogues occur between one agent and one human, as in the case of intelligent tutoring systems. Three-party conversations, called trialogues, involve two agents interacting with a human. The two agents can take on different roles (such as tutors and peers), model actions and social interactions, stage arguments, solicit help from the human, and collaboratively solve problems. Examples of assessment with these agent-based environments are presented in the context of intelligent tutoring, educational games, and interventions to help struggling adult readers. Most of these involve assessment at varying grain sizes to guide the intelligent interaction, but conversation-based assessment with agents is also currently being used in high stakes assessments. © 2017",,"English",Article,Scopus,2-s2.0-85017186313
"Li Y., Cao H., Wen G.","Simulation study on opinion formation models of heterogeneous agents based on game theory and complex networks",2017,"Simulation","93","11",,"899","919",,,10.1177/0037549717709349,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031091391&doi=10.1177%2f0037549717709349&partnerID=40&md5=238bb50fc3fc1bce2476f1be81d06b96","This study investigates a new opinion formation model of heterogeneous agents, a network stubborn individuals and orators (NSO) model based on game theory and complex social networks. Game theory solves economists' rational choice-making problems, and complex social networks reflect the social impact on opinion evolution. The NSO model involves both social and individual heterogeneous characteristics. In a society, the more unequal the members, and the closer the social distances, the faster opinions spread. In the real world, the power-law degree distribution and the short paths in social networks can generate the rapid spread of an opinion. This study also investigates opinion control under the NSO model. The results show that opinion guidance is most likely to separate the public into different groups rather than converge to the guide's opinion. © 2017 Author(s).",,"English",Article,Scopus,2-s2.0-85031091391
"Barták R., Chrpa L., Dovier A., Vodrážka J., Zhou N.-F.","Modeling and solving planning problems in tabled logic programming: Experience from the Cave Diving domain",2017,"Science of Computer Programming","147",,,"54","77",,,10.1016/j.scico.2017.04.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019569606&doi=10.1016%2fj.scico.2017.04.007&partnerID=40&md5=9f1957b5ea9ab03e55200c2db7309e30","Action planning deals with the problem of finding a sequence of actions transferring the world from a given state to a desired (goal) state. This problem is important in various areas such as robotics, manufacturing, transportation, autonomic computing, computer games, etc. Action planning is a form of a reachability problem in a huge state space so it is critical to efficiently represent world states and actions (transitions between states). In this paper we present a modeling framework for planning problems based on tabled logic programming that exploits a planner module in the Picat language. In particular, we suggest techniques for structured representation of states and for including control knowledge in the description of actions. We demonstrate these techniques using the complex planning domain Cave Diving from the International Planning Competition. Experimentally, we show properties of the model for different search approaches and we compare the performance of the proposed approach with state-of-the-art automated planners. The focus of this paper is on providing guidelines for manual modeling of planning domains rather than on automated reformulation of models. © 2017 Elsevier B.V.",,"English",Article,Scopus,2-s2.0-85019569606
"Huang C., Moran A.E., Coxson P.G., Yang X., Liu F., Cao J., Chen K., Wang M., He J., Goldman L., Zhao D., Kinney P.L., Gu D.","Potential Cardiovascular and Total Mortality Benefits of Air Pollution Control in Urban China",2017,"Circulation","136","17",,"1575","1584",,1,10.1161/CIRCULATIONAHA.116.026487,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032154711&doi=10.1161%2fCIRCULATIONAHA.116.026487&partnerID=40&md5=ded77367c5aa7e6af79df76845c86466","BACKGROUND: Outdoor air pollution ranks fourth among preventable causes of China's burden of disease. We hypothesized that the magnitude of health gains from air quality improvement in urban China could compare with achieving recommended blood pressure or smoking control goals.METHODS: The Cardiovascular Disease Policy Model-China projected coronary heart disease, stroke, and all-cause deaths in urban Chinese adults 35 to 84 years of age from 2017 to 2030 if recent air quality (particulate matter with aerodynamic diameter ≤2.5 µm, PM2.5) and traditional cardiovascular risk factor trends continue. We projected life-years gained if urban China were to reach 1 of 3 air quality goals: Beijing Olympic Games level (mean PM2.5, 55 μg/m3), China Class II standard (35 μg/m3), or World Health Organization standard (10 μg/m3). We compared projected air pollution reduction control benefits with potential benefits of reaching World Health Organization hypertension and tobacco control goals.RESULTS: Mean PM2.5 reduction to Beijing Olympic levels by 2030 would gain ≈241,000 (95% uncertainty interval, 189 000-293 000) life-years annually. Achieving either the China Class II or World Health Organization PM2.5 standard would yield greater health benefits (992 000 [95% uncertainty interval, 790 000-1 180 000] or 1 827 000 [95% uncertainty interval, 1 481 00-2 129 000] annual life-years gained, respectively) than World Health Organization-recommended goals of 25% improvement in systolic hypertension control and 30% reduction in smoking combined (928 000 [95% uncertainty interval, 830 000-1 033 000] life-years).CONCLUSIONS: Air quality improvement in different scenarios could lead to graded health benefits ranging from 241 000 life-years gained to much greater benefits equal to or greater than the combined benefits of 25% improvement in systolic hypertension control and 30% smoking reduction. © 2017 American Heart Association, Inc.",28882886,"English",Article,Scopus,2-s2.0-85032154711
"Lole L., Gonsalvez C.J.","Does size matter? An examination of problem gamblers’ skin conductance responses to large and small magnitude rewards",2017,"Psychophysiology","54","10",,"1541","1548",,,10.1111/psyp.12897,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019860106&doi=10.1111%2fpsyp.12897&partnerID=40&md5=cad81878568657b883665a5b9e3dd859","Previous research has shown that individuals with substance use disorder equally value small and large magnitude rewards. This has led some researchers to conceptualize the problematic behaviors associated with this disorder as being, at least in part, caused by a deficiency in processing reward stimuli. Considering the documented similarities between substance use disorder and disordered gambling, the current study sought to investigate whether problem gamblers also display such an aberrant pattern of incentive processing. Skin conductance responses (SCRs) to small and large magnitude wins were recorded from 16 problem gamblers (PGs) and 16 healthy controls (HCs) while they completed a computer-simulated electronic gaming machine task. The results show that, while large wins elicited greater SCRs compared to small wins for the HC group, no difference in SCR amplitude was found following large and small wins in the PG group. These findings suggest that problem gamblers may be less effective at evaluating the value of incentives, and are discussed in terms of relevant theoretical frameworks. © 2017 Society for Psychophysiological Research",,"English",Article,Scopus,2-s2.0-85019860106
"Lin X., Li S., Qu C.","Social network sites influence recovery from social exclusion: Individual differences in social anxiety",2017,"Computers in Human Behavior","75",,,"538","546",,,10.1016/j.chb.2017.05.044,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020248360&doi=10.1016%2fj.chb.2017.05.044&partnerID=40&md5=5f44c31e4ca03493929639c166dcc140","Social network sites (SNSs) have been found to be closely associated with responses to social exclusion and to impact people with high or low levels of social anxiety in different ways. Our study tested whether social anxiety, an individual difference variable, affected the association between SNSs and responses to social exclusion. A Cyberball game was conducted to create social exclusion, followed by a waiting period during which participants were observed to see whether they would choose to use SNSs. Afterwards, recovery from participants' negative responses to exclusion was measured. Results showed that using SNSs benefited the highly socially anxious (HSA) group in terms of recovering from disconnection and feeling a sense of meaningful existence more than the low socially anxious (LSA) group. However, recovery from disconnection was lower for LSA individuals who used SNSs than those who did not use SNSs. Our research suggests that SNSs benefited HSA individuals after social exclusion, but hindered the recovery of LSA individuals. © 2017",,"English",Article,Scopus,2-s2.0-85020248360
"Grossard C., Grynspan O., Serret S., Jouen A.-L., Bailly K., Cohen D.","Serious games to teach social interactions and emotions to individuals with autism spectrum disorders (ASD)",2017,"Computers and Education","113",,,"195","211",,1,10.1016/j.compedu.2017.05.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020299532&doi=10.1016%2fj.compedu.2017.05.002&partnerID=40&md5=3a65b52b5eb1348f0cd24fac7da4e94d","The use of information communication technologies (ICTs) in therapy offers new perspectives for treating many domains in individuals with autism spectrum disorders (ASD) because they can be used in many different ways and settings and they are attractive to the patients. We reviewed the available literature on serious games that are used to teach social interactions to individuals with ASD. After screening the Medline, Science Direct and ACM Digital Library databases, we found a total of 31 serious games: 16 that targeted emotion recognition or production and 15 that targeted social skills. There was a significant correlation between the number of reports per year and the year of publication. Serious games appeared promising because they can support training on many different skills and they favour interactions in diverse contexts and situations, some of which may resemble real life. However, the currently available serious games exhibit some limitations: (i) most of them are developed for High-Functioning individuals; (ii) their clinical validation has rarely met the evidence-based medicine standards; (iii) the game design is not usually described; and, (iv) in many cases, the clinical validation and playability/game design are not compatible. Future research agendas should encompass (i) more robust studies in terms of methodology (large samples, control groups, longer treatment periods, follow-up to assess whether changes remain stable, etc.) to assess serious game efficacy; (ii) more collaboration between clinical and computer/game design experts; and (iii) more serious games that are adapted to Low-Functioning ASD individuals. © 2017 Elsevier Ltd",,"English",Article,Scopus,2-s2.0-85020299532
"Jeong H., Yim H.W., Jo S.-J., Lee S.-Y., Kim E., Son H.J., Han H.-H., Lee H.K., Kweon Y.-S., Bhang S.-Y., Choi J.-S., Kim B.-N., Gentile D.A., Potenza M.N.","Study protocol of the internet user Cohort for Unbiased Recognition of gaming disorder in Early adolescence (iCURE), Korea, 2015-2019",2017,"BMJ Open","7","10", e018350,"","",,,10.1136/bmjopen-2017-018350,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031102196&doi=10.1136%2fbmjopen-2017-018350&partnerID=40&md5=b3f1918cb8a73e16492b90c8d34cfd70","Introduction In 2013, the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5) proposed nine internet gaming disorder (IGD) diagnostic criteria as a condition warranting further empirical and clinical research. The aim of this study is to clarify the natural and clinical courses of IGD proposed DSM-5 in adolescents and to evaluate its risk and protective factors. Methods and analysis The Internet user Cohort for Unbiased Recognition of gaming disorder in Early Adolescence (iCURE) study is an ongoing multidisciplinary, prospective, longitudinal cohort study conducted in 21 schools in Korea. Participant recruitment commenced in March 2015 with the goal of registering 3000 adolescents. The baseline assessment included surveys on emotional, social and environmental characteristics. A parent or guardian completed questionnaires and a structured psychiatric comorbidity diagnostic interview regarding their children. Adolescents with the Internet Game Use-Elicited Symptom Screen total scores of 6 or higher were asked to participate in the clinical diagnostic interview. Two subcohorts of adolescents were constructed: a representative subcohort and a clinical evaluation subcohort. The representative subcohort comprises a randomly selected 10% of the iCURE to investigate the clinical course of IGD based on clinical diagnosis and to estimate the false negative rate. The clinical evaluation subcohort comprised participants meeting three or more of the nine IGD criteria, determined by clinical diagnostic interview, to show the clinical course of IGD. Follow-up data will be collected annually for the 3 years following the baseline assessments. The primary endpoint is 2-year incidence, remission and recurrence rates of IGD. Cross-sectional and longitudinal associations between exposures and outcomes as well as mediation factors will be evaluated. Ethics and dissemination This study is approved by the Institutional Review Board of the Catholic University of Korea. Results will be published in peer-reviewed journals. Trial registration number ClinicalTrials.gov (identifier: NCT02415322). © Article author(s) 2017.",,"English",Article,Scopus,2-s2.0-85031102196
"Carneiro D., Gomes M., Costa Â., Novais P., Neves J.","Enriching conflict resolution environments with the provision of context information",2017,"Expert Systems","34","5", e12049,"","",,,10.1111/exsy.12049,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883201532&doi=10.1111%2fexsy.12049&partnerID=40&md5=c2f244ceae36cbc9a32f707626c7f069","It is a common affair to settle disputes out of courts nowadays, through negotiation, mediation or any other mean. This has also been implemented over telecommunication means under the so-called Online Dispute Resolution methods. However, this new technology-supported approach is impersonal and cold, leaving aside important issues such as the disputants' body language, stress level or emotional response while being based on forms, e-mails or chat rooms. To overcome this shortcoming, in this paper, it is proposed the creation of intelligent environments for conflict resolution that can complement the existing tools with important knowledge about the context of interaction. This will allow decision-makers to take better framed decisions based not only on figures but also on important contextual information, similar to what happens when parties communicate in the physical presence of each other. © 2013 Wiley Publishing Ltd",,"English",Article,Scopus,2-s2.0-84883201532
